id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes,spec_id,exp_id,run_id,remote_state,artifact_path,branch,commit_hash,next_action,updated_at
APPROVAL-01,P0,prepare,spec,冻结并登记已批准 MALC Spec,将用户批准的 SIRC-MALC-CGR mAP50 研究合同登记为唯一活动执行输入。,Spec status=approved；Research Contract、机制门禁、fresh-victim 判据、Stop Condition 和 Claim Boundary 与批准内容一致；v1 保持暂停；CSV 通过结构化校验。,local_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:1;issues/TEMPLATE.csv:1;issues/TAUSB-SIRC-MALC-CGR-MAP50-v2.review.md:1,approval_evidence:user message 2026-08-09;route:mission-approved-doc;supersedes:TAUSB-SIRC-LFC-CGR-MAP50-v1,TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,,CARRIER-01,2026-08-09
CARRIER-01,P0,implement,carrier,审计并接入共享 SIRC 载体与确定性实例渲染,保留既有用户修改，审计 shared 16-basis/48-coefficient carrier，并接入 instance-canonical warp、deterministic JND、forced pseudo fallback 和 materializer。,固定 manifest/seed 的 basis 与渲染 hash 可复现；rank、zero-mean、unit-L2、finite 合格；support 外扰动为零；actual Linf<=16/255+1/255；关闭 v2 精确回退；pseudo support 不表述为真实 mask。,local_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:56;ue_project/ue_framework/methods/semantic_residual_carrier.py:1;ue_project/ue_framework/methods/instance_canonical_carrier.py:1,"depends_on:APPROVAL-01;picked_reason:P0 first implementation row after approved Spec;preserve_dirty_worktree:true;validation:.venv/Scripts/python.exe -m pytest -q tests/test_sirc_semantic_carrier.py tests/test_sirc_variant_renderer.py tests/test_bsc_icmo_renderer.py tests/test_bsc_icmo_support.py=>17 passed;review:carrier invariants,deterministic JND,support,Linf,legacy path and fail-closed inputs verified",TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,,MALC-01,2026-08-09
MALC-01,P0,implement,loss,实现检测器原生多尺度 MALC,在冻结 YOLO P3/P4/P5 cv3 pre-logit features 上，以 clean TAL/PAG score-weighted person 实例 residual 实现 scale-balanced direction、log-magnitude 和 non-zero floor。,residual 按 target_gt_idx 与 clean assigned score 正确池化；先实例后有效尺度等权；无 assignment fail closed；低能量进入 floor；各损失及 theta gradient finite；尺度、尺寸和共现诊断落盘。,local_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:66;ue_project/ue_framework/methods/instance_cicr.py:1;ue_project/ue_framework/methods/detector_tower_hooks.py:1;ue_project/ue_framework/methods/shadow_tal.py:1,"depends_on:CARRIER-01;replaces:external LFC and standalone CICR;picked_reason:P0 next dependency after CARRIER-01;validation:.venv/Scripts/python.exe -m pytest -q tests/test_malc.py tests/test_bsc_icmo_instance_cicr.py tests/test_detector_tower_hooks.py tests/test_sirc_semantic_carrier.py tests/test_sirc_variant_renderer.py tests/test_bsc_icmo_renderer.py tests/test_bsc_icmo_support.py=>30 passed;compile:malc.py and carrier pass;review:score weighting,instance separation,scale balance,low energy,no-assignment and frozen prototype paths verified",TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,,CALIBRATION-01,2026-08-09
CALIBRATION-01,P0,implement,calibration,冻结 MALC 原型与一次性梯度标定,在固定 calibration split warm-up 上拟合每尺度方向原型、能量中心和 Q25×0.5 floor，并按 theta median gradient norm 一次性标定 loss 权重。,"calibration/held-out split 和 hashes 固定；held-out/victim 不回写；同 seed 原型与权重 hash 一致；lambda clip[0.1,10] 后冻结；disconnected/nonfinite fail closed；超过 0.50 组件命中 clip 边界即停止。",local_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:84;docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:119;ue_project/ue_framework/methods/instance_cicr.py:1,"depends_on:MALC-01;no_victim_map_tuning:true;picked_reason:P0 next dependency after MALC-01;validation:.venv/Scripts/python.exe -m pytest -q tests/test_malc_calibration.py tests/test_malc.py tests/test_bsc_icmo_instance_cicr.py tests/test_detector_tower_hooks.py=>18 passed;compile:malc.py and malc_calibration.py pass;review:split-only update,Q25 floor,hash repeatability,immutable weights,disconnected/nonfinite/clip gates verified",TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,,CGR-INTEGRATION-01,2026-08-09
CGR-INTEGRATION-01,P0,implement,routing,将 MALC composite gradient 接入逐类 CGR,仅用 clean TAL 真实非目标 foreground positives 构造逐类 assigned-class probability-drop constraints，并接入 SVD 零空间、repair-only 和最多五次非线性回溯。,每类先均值再等权；active rows L2 归一化；SVD rel threshold=1e-4；max projected row dot<=1e-5；feasible/near-boundary/repair/skip 正确；无 scalar non-target loss、feature loss 或 late repair。,local_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:143;ue_project/ue_framework/methods/constraint_gradient_router.py:1;ue_project/ue_framework/methods/shadow_tal.py:1,"depends_on:CALIBRATION-01;non_target_protection:CGR_only;picked_reason:P0 next dependency after CALIBRATION-01;validation:.venv/Scripts/python.exe -m pytest -q tests/test_malc_cgr.py tests/test_constraint_gradient_router.py tests/test_selective_routes.py tests/test_malc.py tests/test_malc_calibration.py=>29 passed;compile:malc_cgr.py pass;review:class-only rows,row normalization,SVD rank,orthogonality,composite target,repair,actual nonlinear backtracking and skip verified",TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,,MECHANISM-HARNESS-01,2026-08-09
MECHANISM-HARNESS-01,P0,implement,mechanism,实现固定 A0/A1 机制门禁与 held-out 指标,实现匹配的 A0(MALC off) 与 A1(MALC on)、固定 calibration/held-out split，以及 direction、energy、coverage、scale、leakage 和 CGR retention 指标。,A0/A1 除 MALC 外完全匹配；held-out 只读；门禁逐项输出值与 PASS/FAIL；A1 未通过时禁止 M1；机制指标不描述为 fresh-victim UE 证据。,local_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:160;docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:214;ue_project/ue_framework/methods/sirc_probe.py:1,"depends_on:CGR-INTEGRATION-01;arms:A0,A1;heldout_read_only:true;picked_reason:P0 next dependency after CGR-INTEGRATION-01;validation:.venv/Scripts/python.exe -m pytest -q tests/test_malc_mechanism.py tests/test_malc_cgr.py tests/test_malc.py tests/test_malc_calibration.py=>24 passed;compile:malc_mechanism.py pass;review:matched configs,heldout-only aggregation,all success/failure gates,size/cooccur groups,explicit mechanism-only artifact scope and no-overwrite verified",TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,,PIPELINE-01,2026-08-09
PIPELINE-01,P0,implement,entrypoint,绑定 v2 生成训练评估入口与正式配置,将 SIRC-MALC-CGR 参数链绑定到 launch_one 的 generate、train_victim、evaluate 与 aggregate，固定 no-EOT、VOC person id14、C0/M1 与 fresh roots。,config->runtime->carrier->cv3->TAL/PAG->MALC->CGR->materializer->metrics 可追踪；MALC-off 回退 easy-route+RMS+CGR；全关回退 tausb_mask；C0/M1 固定 seed0/200 epochs/imgsz640/batch36/SGD；已有 root fail closed。,local_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:152;docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:193;ue_project/ue_framework/launch_one.py:1;ue_project/ue_framework/runtime.py:1,"depends_on:MECHANISM-HARNESS-01;no_eot:true;fresh_roots:true;picked_reason:P0 next dependency after MECHANISM-HARNESS-01;implementation:sirc_malc_mechanism.py plus frozen A1 materializer and formal configs;validation:55 focused tests passed,15 direct materializer tests passed;fresh_existing_roots:fail_closed;formal:M1 requires gate plus bank/source/split hashes;claim:no remote run",TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,,EVAL-01,2026-08-09
EVAL-01,P0,implement,metrics,落盘 VOC20 命名 AP50 与 C0/M1 比较,扩展 evaluate/aggregate 输出 20 类命名 AP50、person AP50、19 类独立和宏平均、mAP50_all、逐类 delta/retention、quality 与 MALC/CGR diagnostics。,VOC20 名称和顺序准确；缺类、长度、单位或 NaN 错误 fail closed；合成 C0/M1 的 delta、retention 和宏平均正确；metrics 含 poisoned_count、actual Linf、PSNR/LPIPS 或明确 validation_gap。,local_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:193;ue_project/ue_framework/stages/evaluate.py:1;ue_project/ue_framework/stages/aggregate.py:1,"depends_on:PIPELINE-01;primary:person_down,non_target_macro_up;picked_reason:P0 next dependency after PIPELINE-01;implementation:strict VOC20 ap_class_index mapping,named AP50,C0-M1 deltas and retention,quality gaps,complete state/bank/source/split provenance,and embedded passing A0/A1 mechanism diagnostics for M1;validation:134 full local tests passed;claim:single seed tentative,no real metrics yet",TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,,LOCAL-VALIDATION-01,2026-08-09
LOCAL-VALIDATION-01,P0,validate,validation,执行本地与 AutoDL 无卡实现验证,运行 compile、import、配置解析、单元/回归、合成前后向、feature-off 和真实 VOC 便宜 smoke，并记录无卡环境不能证明的边界。,相关测试通过；MALC 与 theta gradients finite；CGR analytic/repair/backtracking 通过；MALC-off/CGR-off/no-EOT/tausb_mask 回退通过；Python3.8 兼容；不以 smoke 声称 UE 效果。,local_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,未提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:180;ue_project/tests/test_constraint_gradient_router.py:1;ue_project/tests/test_sirc_semantic_carrier.py:1,"depends_on:EVAL-01;validation_scope:no fresh-victim claim;picked_reason:P0 next dependency after EVAL-01;validation:134 full tests passed,12 active files compile and Python3.8 grammar parse,imports and formal config pass,VOC train16551/val4952 and surrogate person14 pass;python38_fix:runtime-evaluated BandRange changed from tuple[...] to typing.Tuple after prior AutoDL evidence;real_voc_cpu_smoke:10 JSON files finite,A0/A1 forward-backward plus CGR accepted,smoke gate intentionally non-evidentiary and stopped with allow_fresh_victim=false;python38_runtime:must be rechecked read-only on AutoDL;no_ue_claim:true",TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,,GIT-SNAPSHOT-01,2026-08-09
GIT-SNAPSHOT-01,P0,prepare,git,建立可复现实验代码快照,审计 dirty worktree，只显式 stage v2 Spec/CSV/review、实现和测试文件，创建普通提交并普通非 force 推送同名远端分支。,提交不含数据、权重、smoke artifacts、密钥或无关修改；branch/commit 可从远端获取；CSV/review 记录精确 commit；无法安全分离时保持未提交并记录 blocker。,local_and_remote_cli,karpathy-guidelines,,逐项核对实现与批准 Spec、活动参数链及证据一致,核对 MALC-off、CGR-off、no-EOT、历史 tausb_mask 回退与 claim boundary,已完成,已完成,已完成,已提交,codex,docs/research/specs/TAUSB-SIRC-MALC-CGR-MAP50-v2.md:204;AGENTS.md:1,"depends_on:LOCAL-VALIDATION-01;no_force_push:true;preserve_dirty_worktree:true;staged_scope:audited v2 files only;excluded:.tmp,local smoke config,data,weights,secrets,v1 and unrelated worktree;initial_implementation_commit:d85967ed070340718b8e805fb59021f560f1eb71;python38_fix:25c85435d8c234fc84d6cc49bcef63c21a26de03;isolated_input_path_fix:c233f38ccbc7a226ffb8b99a03ae2551e2cbb588;matched_victim_seed_fix:93f49beeeb608c4ed5d78fd762a4f8d080b4590a;push:verified normal non-force to origin/codex/tausb-sirc-malc-cgr-map50-v2;portable_recipe_hash_fix:a7df8684b0c8ccb767df9712c7bc88a4fde29321;push:verified",TAUSB-SIRC-MALC-CGR-MAP50-v2,TAUSB-SIRC-MALC-CGR-MAP50-S0,,not_applicable,,codex/tausb-sirc-malc-cgr-map50-v2,a7df8684b0c8ccb767df9712c7bc88a4fde29321,REMOTE-INPUTS-01,2026-08-09
